timestamp,test-class,test-method,time,description,result
2021-06-01 17:47:29.178,acme.testing.manager.task.ManagerTaskCreateTest,createTaskPositive,15900,"[1] recordIndex=5, title=creacion1, description=Creacion de nueva task 1, link=http://www.acme.com, start_date=2022/10/20 12:00, ending_date=2022/10/21 12:00, workload=10.00, finished=false, privacy=true, execution_period=24, manager_id=21",OK
2021-06-01 17:47:43.007,acme.testing.manager.task.ManagerTaskCreateTest,createTaskPositive,13099,"[2] recordIndex=6, title=creacion2, description=Creacion de nueva task 2, link=null, start_date=2022/10/20 12:00, ending_date=2022/10/21 12:00, workload=10.00, finished=false, privacy=false, execution_period=24, manager_id=21",OK
2021-06-01 17:48:18.088,acme.testing.manager.task.ManagerTaskCreateTest,createTaskNegative,34598,"[1] recordIndex=4, title=null, description=Creacion de nueva task 1, link=http://www.acme.com, start_date=2022/10/20 12:00, ending_date=2022/10/21 12:00, workload=10.00, finished=false, privacy=true, execution_period=24, manager_id=21",Cannot find 'By.name: fake_workload'
2021-06-01 17:48:53.719,acme.testing.manager.task.ManagerTaskCreateTest,createTaskNegative,34911,"[2] recordIndex=5, title=creacion1, description=null, link=http://www.acme.com, start_date=2022/10/20 12:00, ending_date=2022/10/21 12:00, workload=10.00, finished=false, privacy=true, execution_period=24, manager_id=21",Cannot find 'By.name: fake_workload'
2021-06-01 17:49:29.354,acme.testing.manager.task.ManagerTaskCreateTest,createTaskNegative,34976,"[3] recordIndex=6, title=creacion1, description=Creacion de nueva task 1, link=http://www.acme.com, start_date=null, ending_date=2022/10/21 12:00, workload=10.00, finished=finished, privacy=true, execution_period=24, manager_id=21",Cannot find 'By.name: fake_workload'
