timestamp,test-class,test-method,time,description,result
2021-06-01 17:50:43.014,acme.testing.manager.task.ManagerTaskCreateTest,createTaskPositive,14726,"[1] recordIndex=5, title=creacion1, description=Creacion de nueva task 1, link=http://www.acme.com, start_date=2022/10/20 12:00, ending_date=2022/10/21 12:00, workload=10.00, finished=false, privacy=true, execution_period=24, manager_id=21",OK
2021-06-01 17:50:56.056,acme.testing.manager.task.ManagerTaskCreateTest,createTaskPositive,12435,"[2] recordIndex=6, title=creacion2, description=Creacion de nueva task 2, link=null, start_date=2022/10/20 12:00, ending_date=2022/10/21 12:00, workload=10.00, finished=false, privacy=false, execution_period=24, manager_id=21",OK
2021-06-01 17:51:05.158,acme.testing.manager.task.ManagerTaskCreateTest,createTaskNegative,8484,"[1] recordIndex=4, title=null, description=Creacion de nueva task 1, link=http://www.acme.com, start_date=2022/10/20 12:00, ending_date=2022/10/21 12:00, workload=10.00, finished=false, privacy=true, execution_period=24, manager_id=21",OK
2021-06-01 17:51:15.069,acme.testing.manager.task.ManagerTaskCreateTest,createTaskNegative,9163,"[2] recordIndex=5, title=creacion1, description=null, link=http://www.acme.com, start_date=2022/10/20 12:00, ending_date=2022/10/21 12:00, workload=10.00, finished=false, privacy=true, execution_period=24, manager_id=21",OK
2021-06-01 17:51:25.949,acme.testing.manager.task.ManagerTaskCreateTest,createTaskNegative,9935,"[3] recordIndex=6, title=creacion1, description=Creacion de nueva task 1, link=http://www.acme.com, start_date=null, ending_date=2022/10/21 12:00, workload=10.00, finished=finished, privacy=true, execution_period=24, manager_id=21",OK
2021-06-01 17:51:34.7,acme.testing.manager.task.ManagerTaskCreateTest,createTaskNegative,8085,"[4] recordIndex=7, title=creacion1, description=Creacion de nueva task 1, link=http://www.acme.com, start_date=2022/10/20 12:00, ending_date=null, workload=10.00, finished=false, privacy=true, execution_period=24, manager_id=21",OK
2021-06-01 17:51:42.678,acme.testing.manager.task.ManagerTaskCreateTest,createTaskNegative,7363,"[5] recordIndex=8, title=creacion1, description=Creacion de nueva task 1, link=http://www.acme.com, start_date=2022/10/20 12:00, ending_date=2022/10/21 12:00, workload=null, finished=false, privacy=true, execution_period=24, manager_id=21",OK
2021-06-01 17:51:51.251,acme.testing.manager.task.ManagerTaskCreateTest,createTaskNegative,7998,"[6] recordIndex=9, title=creacion1, description=Creacion de nueva task 1, link=http://www.acme.com, start_date=2010/10/20 12:00, ending_date=2010/10/21 12:00, workload=10.00, finished=false, privacy=true, execution_period=24, manager_id=21",OK
2021-06-01 17:52:00.223,acme.testing.manager.task.ManagerTaskCreateTest,createTaskNegative,8404,"[7] recordIndex=10, title=creacion1, description=Creacion de nueva task 1, link=http://www.acme.com, start_date=2022/10/21 12:00, ending_date=2022/10/20 12:00, workload=10.00, finished=false, privacy=true, execution_period=-24, manager_id=21",OK
2021-06-01 17:52:08.717,acme.testing.manager.task.ManagerTaskCreateTest,createTaskNegative,7961,"[8] recordIndex=11, title=creacion1, description=Creacion de nueva task 1, link=http://www.acme.com, start_date=2022/10/20 12:00, ending_date=2022/10/25 12:00, workload=100.00, finished=false, privacy=true, execution_period=120, manager_id=21",OK
